Sales_ID,Order_ID,Product_ID,Sales,Quantity,Discount,Profit,Customer_ID,Order_Date,Ship_Date,Ship_Mode,Country,City,State,Postal_code,Region,Customer_Name,Segment,Category,Sub_category,Product_Name,Order_Year,Order_Month_No,Order_Month,Quarter,Day_Name,Week_Number,Processing_Days,Profit_Margin,Average_Selling_Price
1,CA-2016-152156,FUR-BO-10001798,261.96,2,0.0,41.9136,CG-12520,2016-11-08,2016-11-11,Second Class,United States,Henderson,Kentucky,42420,South,Claire Gute,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,2016,11,November,4,Tuesday,45,3,16.000000000000004,130.98
2,CA-2016-152156,FUR-CH-10000454,731.94,3,0.0,219.582,CG-12520,2016-11-08,2016-11-11,Second Class,United States,Henderson,Kentucky,42420,South,Claire Gute,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2016,11,November,4,Tuesday,45,3,30.0,243.98000000000002
3,CA-2016-138688,OFF-LA-10000240,14.62,2,0.0,6.8714,DV-13045,2016-06-12,2016-06-16,Second Class,United States,Los Angeles,California,90036,West,Darrin Van Huff,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2016,6,June,2,Sunday,23,4,47.0,7.31
4,US-2015-108966,FUR-TA-10000577,957.58,5,0.45,-383.031,SO-20335,2015-10-11,2015-10-18,Standard Class,United States,Fort Lauderdale,Florida,33311,South,Sean O'Donnell,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2015,10,October,4,Sunday,41,7,-39.99989557008291,191.51600000000002
5,US-2015-108966,OFF-ST-10000760,22.37,2,0.2,2.5164,SO-20335,2015-10-11,2015-10-18,Standard Class,United States,Fort Lauderdale,Florida,33311,South,Sean O'Donnell,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2015,10,October,4,Sunday,41,7,11.248994188645508,11.185
6,CA-2014-115812,FUR-FU-10001487,48.86,7,0.0,14.1694,BH-11710,2014-06-09,2014-06-14,Standard Class,United States,Los Angeles,California,90032,West,Brosina Hoffman,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",2014,6,June,2,Monday,24,5,28.999999999999996,6.9799999999999995
7,CA-2014-115812,OFF-AR-10002833,7.28,4,0.0,1.9656,BH-11710,2014-06-09,2014-06-14,Standard Class,United States,Los Angeles,California,90032,West,Brosina Hoffman,Consumer,Office Supplies,Art,Newell 322,2014,6,June,2,Monday,24,5,27.0,1.82
8,CA-2014-115812,TEC-PH-10002275,907.15,6,0.2,90.7152,BH-11710,2014-06-09,2014-06-14,Standard Class,United States,Los Angeles,California,90032,West,Brosina Hoffman,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,2014,6,June,2,Monday,24,5,10.000022047070495,151.19166666666666
9,CA-2014-115812,OFF-BI-10003910,18.5,3,0.2,5.7825,BH-11710,2014-06-09,2014-06-14,Standard Class,United States,Los Angeles,California,90032,West,Brosina Hoffman,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2014,6,June,2,Monday,24,5,31.256756756756754,6.166666666666667
10,CA-2014-115812,OFF-AP-10002892,114.9,5,0.0,34.47,BH-11710,2014-06-09,2014-06-14,Standard Class,United States,Los Angeles,California,90032,West,Brosina Hoffman,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,2014,6,June,2,Monday,24,5,30.0,22.98
